Transaction ID,Date,Customer ID,Customer Name,Gender,Age,Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sale Amount,Payment Method,Store Location,Salesperson ID,Salesperson Name,Discount Applied,Return Status
TXN00012,2022-04-12,CUST00012,Chinonso Chidera,Male,52,Flash Drive,Accessories,Accessories,9,$163.67,$1473.03,Debit Card,Port Harcourt,SP086,Chinonso Hassan,None,Not Returned
TXN00013,2023-11-18,CUST00013,Bola Adaobi,Female,33,Monitor,Electronics,Electronics,15,$103.77,$1556.55,Credit Card,Port Harcourt,SP066,Oyinade Tola,$24,Not Returned
TXN00014,2023-12-27,CUST00014,Ifeyinwa Adaeze,Female,31,Keyboard,Electronics,Electronics,10,$248.30,$2483.00,Credit Card,Enugu,SP002,Seyi Simeon,11%,Returned
TXN00015,2024-01-25,CUST00015,Olufunke Yemi,Female,24,Monitor,Electronics,Electronics,3,$67.22,$201.66,POS,Enugu,SP075,Chika Elijah,5%,Returned
TXN00016,2022-12-09,CUST00016,Tobi Obinna,Male,60,Laptop Stand,Accessories,Accessories,1,$125.44,$125.44,PayPal,Enugu,SP044,Nneka Nkechi,None,Not Returned
TXN00017,2022-04-19,CUST00017,Jibola Chijioke,Male,53,Keyboard,Electronics,Electronics,9,$205.56,$1850.04,Cash,Lagos,SP003,Fathia Uche,$23,Not Returned
TXN00018,2022-08-01,CUST00018,Shola Adebayo,Female,22,Monitor,Electronics,Electronics,7,$174.88,$1224.16,Cash,Abuja,SP035,Pius Kelechi,11%,Returned
TXN00019,2024-04-05,CUST00019,Peace Amaka,Male,51,Monitor,Electronics,Electronics,8,$11.92,$95.36,PayPal,Kano,SP077,Chukwudi David,11%,Not Returned
TXN00020,2023-08-01,CUST00020,Ifeoma Olivia,Male,34,Monitor,Electronics,Electronics,2,$83.99,$167.98,Cash,Ibadan,SP024,Shola Chike,$18,Returned
TXN00021,2024-02-07,CUST00021,Chukwudi Tola,Male,18,Power Bank,Electronics,Electronics,5,$253.04,$1265.20,Cash,Lagos,SP049,Ifeyinwa Nnamdi,None,Returned
TXN00022,2022-12-03,CUST00022,Temitope Ada,Male,36,USB Hub,Accessories,Accessories,9,$60.75,$546.75,PayPal,Jos,SP028,Patience Opeyemi,None,Returned
TXN00023,2023-03-15,CUST00023,Adaeze Chijioke,Male,48,Wireless Mouse,Electronics,Electronics,14,$177.37,$2483.18,Debit Card,Enugu,SP018,Ifeoma Temitope,$3,Returned
TXN00024,2022-01-09,CUST00024,Nwafor Chisom,Male,43,Laptop Stand,Accessories,Accessories,8,$193.97,$1551.76,Credit Card,Ibadan,SP012,Nkem Patience,$48,Not Returned
TXN00025,2022-09-23,CUST00025,Ifeoma Adaobi,Female,54,Wireless Mouse,Electronics,Electronics,8,$37.60,$300.80,Credit Card,Port Harcourt,SP090,Juliet Nneka,None,Returned
TXN00026,2023-05-10,CUST00026,Chidera Olivia,Male,58,Keyboard,Electronics,Electronics,2,$151.45,$302.90,Cash,Lagos,SP034,Femi Dayo,$40,Returned
TXN00027,2024-08-16,CUST00027,Temitayo Amina,Female,24,USB Hub,Accessories,Accessories,14,$30.91,$432.74,Credit Card,Jos,SP010,Simeon Tobi,$29,Returned
TXN00028,2023-08-31,CUST00028,Nwafor Daniel,Female,48,Phone Case,Accessories,Accessories,2,$118.15,$236.30,Credit Card,Owerri,SP081,Blessing Obinna,5%,Returned
TXN00029,2022-11-14,CUST00029,Jibola Uzochi,Female,45,Power Bank,Electronics,Electronics,13,$52.07,$676.91,Bank Transfer,Jos,SP001,Ugo Pius,None,Not Returned
TXN00030,2023-05-24,CUST00030,Chizor Chizor,Male,32,Phone Case,Accessories,Accessories,14,$154.40,$2161.60,Debit Card,Enugu,SP046,Juliet Amaka,None,Returned
TXN00031,2022-07-17,CUST00031,Opeyemi Obi,Male,32,Wireless Mouse,Electronics,Electronics,1,$26.36,$26.36,Bank Transfer,Lagos,SP048,Tope Dayo,$20,Not Returned
TXN00032,2024-02-19,CUST00032,Blessing Bola,Male,24,Charger,Accessories,Accessories,6,$67.97,$407.82,POS,Abuja,SP074,Micheal Efe,$16,Not Returned
TXN00033,2022-01-17,CUST00033,Adesola Chisom,Male,35,Keyboard,Electronics,Electronics,6,$68.46,$410.76,POS,Port Harcourt,SP039,Nwafor Ayo,$1,Returned
TXN00034,2024-05-29,CUST00034,Adebayo Chinonso,Male,27,Wireless Mouse,Electronics,Electronics,1,$59.71,$59.71,POS,Abuja,SP099,Adebayo Tunde,$39,Not Returned
TXN00035,2024-09-11,CUST00035,Chika Chinedu,Male,36,Power Bank,Electronics,Electronics,8,$85.25,$682.00,PayPal,Enugu,SP073,Adesola Nike,$49,Returned
TXN00036,2022-03-05,CUST00036,Amarachi Amarachi,Male,47,Laptop Stand,Accessories,Accessories,12,$265.57,$3186.84,Cash,Lagos,SP040,Ugo Tola,$17,Not Returned
TXN00037,2023-10-15,CUST00037,David Adebayo,Female,58,Bluetooth Speaker,Electronics,Electronics,1,$90.66,$90.66,PayPal,Port Harcourt,SP076,Fola Zainab,$44,Returned
TXN00038,2022-07-11,CUST00038,Favour Olivia,Female,40,Flash Drive,Accessories,Accessories,12,$90.88,$1090.56,Bank Transfer,Enugu,SP075,Bola Ayo,$42,Returned
TXN00039,2024-07-13,CUST00039,Segun Tunde,Female,41,Power Bank,Electronics,Electronics,3,$275.96,$827.88,POS,Abuja,SP076,Fola Kehinde,None,Not Returned
TXN00040,2023-08-26,CUST00040,Kelechi Chidera,Male,27,Charger,Accessories,Accessories,10,$15.76,$157.60,Cash,Port Harcourt,SP016,Olivia Tosin,None,Not Returned
TXN00041,2024-01-30,CUST00041,Jibola Nkechi,Female,56,Phone Case,Accessories,Accessories,6,$191.76,$1150.56,Debit Card,Owerri,SP080,Ifechukwu Chinedu,10%,Not Returned
TXN00042,2023-03-08,CUST00042,Fola Adaeze,Male,50,Laptop Stand,Accessories,Accessories,12,$142.92,$1715.04,PayPal,Enugu,SP011,Damilola Ada,$1,Not Returned
TXN00043,2022-02-21,CUST00043,Ronke Ugochukwu,Female,31,Charger,Accessories,Accessories,4,$200.42,$801.68,POS,Kano,SP097,Chizor Uche,14%,Not Returned
TXN00044,2023-11-20,CUST00044,Chisom Olufunke,Male,40,Laptop Stand,Accessories,Accessories,15,$49.98,$749.70,Cash,Jos,SP068,Opeyemi Ada,None,Not Returned
TXN00045,2022-06-01,CUST00045,Favour Kelechi,Male,58,Phone Case,Accessories,Accessories,13,$180.50,$2346.50,Cash,Enugu,SP092,Ronke Dayo,None,Returned
TXN00046,2024-04-07,CUST00046,Bola Temitope,Male,59,Charger,Accessories,Accessories,9,$286.96,$2582.64,Credit Card,Kano,SP008,Chijioke Opeyemi,9%,Not Returned
TXN00047,2022-12-28,CUST00047,Adebayo Fathia,Female,38,Laptop Stand,Accessories,Accessories,12,$260.30,$3123.60,Debit Card,Ibadan,SP082,Ogechi Chika,7%,Not Returned
TXN00048,2023-09-01,CUST00048,Onyinye Uche,Female,54,Laptop Stand,Accessories,Accessories,4,$50.05,$200.20,POS,Port Harcourt,SP047,Kehinde Ogechi,8%,Not Returned
TXN00049,2023-03-25,CUST00049,Ezinne Amaka,Female,50,Flash Drive,Accessories,Accessories,15,$35.99,$539.85,PayPal,Port Harcourt,SP085,Adebayo Tope,15%,Returned
TXN00050,2024-06-02,CUST00050,Jibola Fola,Male,46,Charger,Accessories,Accessories,6,$169.74,$1018.44,Debit Card,Jos,SP031,Amarachi Chikere,16%,Returned
TXN00051,2023-05-20,CUST00051,Ayo Simeon,Female,45,Phone Case,Accessories,Accessories,7,$157.38,$1101.66,Bank Transfer,Kano,SP086,Chikere Kehinde,None,Not Returned
TXN00052,2024-07-02,CUST00052,Chioma Tunde,Female,18,Keyboard,Electronics,Electronics,3,$180.59,$541.77,Cash,Kano,SP094,Adesola Chizor,11%,Returned
TXN00053,2022-07-06,CUST00053,Emeka Bola,Male,28,Monitor,Electronics,Electronics,4,$94.30,$377.20,Credit Card,Ibadan,SP083,Yemi Zainab,None,Not Returned
TXN00054,2024-01-07,CUST00054,Pius Tunde,Male,51,Monitor,Electronics,Electronics,13,$293.10,$3810.30,Debit Card,Enugu,SP040,Yemi Opeyemi,17%,Returned
TXN00055,2023-09-11,CUST00055,Olu Elijah,Male,31,Power Bank,Electronics,Electronics,6,$165.92,$995.52,POS,Kano,SP040,Obinna Oyinade,16%,Returned
TXN00056,2022-11-07,CUST00056,Uche Chinwe,Female,34,Wireless Mouse,Electronics,Electronics,11,$137.46,$1512.06,Bank Transfer,Owerri,SP003,Ronke Daniel,None,Returned
TXN00057,2024-10-09,CUST00057,Opeyemi Hassan,Male,34,Bluetooth Speaker,Electronics,Electronics,5,$153.70,$768.50,Bank Transfer,Enugu,SP068,Obinna Jibola,$46,Returned
TXN00058,2024-07-24,CUST00058,Nneka Olu,Male,40,Laptop Stand,Accessories,Accessories,3,$294.15,$882.45,POS,Port Harcourt,SP005,Nkechi Chisom,None,Not Returned
TXN00059,2022-11-19,CUST00059,Chinwe Nnenna,Male,50,Laptop Stand,Accessories,Accessories,7,$22.64,$158.48,Cash,Kano,SP065,Vivian Emeka,7%,Returned
TXN00060,2023-06-03,CUST00060,Patience Temitope,Female,35,Power Bank,Electronics,Electronics,7,$259.66,$1817.62,POS,Enugu,SP026,Shola Sola,None,Returned
TXN00061,2024-08-30,CUST00061,Ogechi Tosin,Female,24,Charger,Accessories,Accessories,13,$294.61,$3829.93,Debit Card,Lagos,SP026,Favour Ada,None,Returned
TXN00062,2023-06-26,CUST00062,Tobi Adesola,Male,50,Monitor,Electronics,Electronics,12,$202.64,$2431.68,Bank Transfer,Abuja,SP069,Tobi Chinedu,7%,Returned
TXN00063,2024-04-26,CUST00063,Opeyemi Chidera,Female,34,USB Hub,Accessories,Accessories,10,$288.26,$2882.60,PayPal,Owerri,SP053,Micheal Olufunke,$28,Not Returned
TXN00064,2023-12-23,CUST00064,Fola Chukwuemeka,Male,57,USB Hub,Accessories,Accessories,5,$97.91,$489.55,Debit Card,Jos,SP011,Ifeoma Ayo,None,Returned
TXN00065,2023-10-26,CUST00065,Temitope Oluwatobi,Female,56,USB Hub,Accessories,Accessories,2,$223.05,$446.10,Debit Card,Port Harcourt,SP025,Benita Ifeyinwa,$20,Not Returned
TXN00066,2022-07-31,CUST00066,Zainab Chinwe,Female,35,Laptop Stand,Accessories,Accessories,2,$295.65,$591.30,Cash,Port Harcourt,SP096,Adaeze Kehinde,None,Not Returned
TXN00067,2024-07-04,CUST00067,Aisha Jibola,Male,49,Power Bank,Electronics,Electronics,3,$22.41,$67.23,POS,Abuja,SP078,Nwafor Ada,20%,Not Returned
TXN00068,2022-09-07,CUST00068,Anita Chike,Female,18,Bluetooth Speaker,Electronics,Electronics,5,$236.20,$1181.00,Bank Transfer,Ibadan,SP021,Obinna Chukwuemeka,19%,Not Returned
TXN00069,2022-10-04,CUST00069,Chikere Kehinde,Female,57,Keyboard,Electronics,Electronics,2,$276.32,$552.64,Cash,Jos,SP010,Vivian Uche,$10,Returned
TXN00070,2023-09-27,CUST00070,Sola Ifeoma,Female,22,Monitor,Electronics,Electronics,2,$109.60,$219.20,Debit Card,Owerri,SP062,Chizor Obinna,11%,Returned
TXN00071,2024-02-16,CUST00071,Opeyemi Chinwe,Female,44,Monitor,Electronics,Electronics,6,$182.71,$1096.26,PayPal,Kano,SP056,Daniel Ronke,6%,Not Returned
TXN00072,2021-12-19,CUST00072,Amina Uzochi,Male,53,Charger,Accessories,Accessories,5,$94.73,$473.65,PayPal,Owerri,SP005,Nkemdilim Amaka,13%,Not Returned
TXN00073,2024-01-21,CUST00073,Kola Amaka,Female,27,Charger,Accessories,Accessories,7,$175.69,$1229.83,Credit Card,Lagos,SP098,Ugochukwu Shola,7%,Returned
TXN00074,2021-12-27,CUST00074,Chinedu Olamide,Male,54,Monitor,Electronics,Electronics,6,$203.02,$1218.12,Debit Card,Abuja,SP055,Shola Kola,None,Not Returned
TXN00075,2023-09-02,CUST00075,Opeyemi Olu,Female,60,Bluetooth Speaker,Electronics,Electronics,5,$248.88,$1244.40,Cash,Kano,SP025,Benita Temitope,$43,Not Returned
TXN00076,2022-02-08,CUST00076,Obi Temitayo,Male,55,Monitor,Electronics,Electronics,8,$76.93,$615.44,Cash,Port Harcourt,SP029,Obinna Kehinde,7%,Returned
TXN00077,2023-12-22,CUST00077,Chika Yemi,Male,29,Bluetooth Speaker,Electronics,Electronics,1,$8.34,$8.34,Debit Card,Enugu,SP055,Olufunke Juliet,$40,Returned
TXN00078,2023-08-04,CUST00078,Chidera Patience,Female,31,Flash Drive,Accessories,Accessories,11,$253.41,$2787.51,POS,Owerri,SP065,Olamide Ada,None,Returned
TXN00079,2022-12-10,CUST00079,Kelechi Bola,Female,57,Keyboard,Electronics,Electronics,13,$152.67,$1984.71,PayPal,Lagos,SP099,Efe Damilola,16%,Not Returned
TXN00080,2021-11-27,CUST00080,Fidelis Nneka,Female,43,Laptop Stand,Accessories,Accessories,1,$42.06,$42.06,Cash,Jos,SP063,Amaka Simeon,None,Not Returned
TXN00081,2024-06-20,CUST00081,Nkem Nike,Male,46,Flash Drive,Accessories,Accessories,5,$131.52,$657.60,PayPal,Ibadan,SP025,Jibola Elijah,11%,Returned
TXN00082,2022-07-10,CUST00082,Efe Femi,Female,48,Flash Drive,Accessories,Accessories,4,$15.95,$63.80,Debit Card,Owerri,SP046,Simeon Amarachi,None,Returned
TXN00083,2022-03-31,CUST00083,Shola Olu,Male,60,Monitor,Electronics,Electronics,9,$118.89,$1070.01,Bank Transfer,Owerri,SP072,Chukwuemeka Anita,None,Returned
TXN00084,2023-11-15,CUST00084,Amina Bola,Male,47,USB Hub,Accessories,Accessories,5,$201.58,$1007.90,Debit Card,Ibadan,SP082,Chisom Micheal,None,Not Returned
TXN00085,2022-09-26,CUST00085,Adebayo Obinna,Male,60,USB Hub,Accessories,Accessories,1,$23.14,$23.14,Cash,Jos,SP086,Daniel Kola,$26,Returned
TXN00086,2022-12-12,CUST00086,Blessing Chinonso,Female,50,Laptop Stand,Accessories,Accessories,5,$29.66,$148.30,Cash,Lagos,SP004,Obinna Nkem,6%,Returned
TXN00087,2021-11-14,CUST00087,Tosin Olufunke,Female,49,Flash Drive,Accessories,Accessories,12,$147.72,$1772.64,Credit Card,Owerri,SP066,Chinonso Bola,19%,Returned
TXN00088,2023-04-24,CUST00088,Tola Ezinne,Female,38,Laptop Stand,Accessories,Accessories,8,$155.52,$1244.16,PayPal,Kano,SP006,Sola Patience,None,Not Returned
TXN00089,2024-09-07,CUST00089,Jibola Peace,Female,27,USB Hub,Accessories,Accessories,3,$52.33,$156.99,Debit Card,Port Harcourt,SP056,Ifeoma Kelechi,11%,Returned
TXN00090,2022-08-01,CUST00090,Elijah Elijah,Female,24,Flash Drive,Accessories,Accessories,6,$82.87,$497.22,PayPal,Abuja,SP087,Chukwudi Tunde,$21,Returned
TXN00091,2023-11-19,CUST00091,Chike Chika,Male,36,Charger,Accessories,Accessories,13,$296.15,$3849.95,Debit Card,Port Harcourt,SP079,Ugochukwu Chinwe,$2,Not Returned
TXN00092,2024-02-09,CUST00092,Chukwuemeka Chijioke,Female,47,Power Bank,Electronics,Electronics,14,$45.83,$641.62,Credit Card,Port Harcourt,SP084,Adebayo Benita,None,Not Returned
TXN00093,2023-03-09,CUST00093,Elijah Ada,Female,43,Flash Drive,Accessories,Accessories,11,$11.00,$121.00,Cash,Owerri,SP060,Kola Bola,None,Not Returned
TXN00094,2024-08-10,CUST00094,Nnamdi Ronke,Male,54,Monitor,Electronics,Electronics,2,$272.64,$545.28,Bank Transfer,Kano,SP053,Tunde Damilola,None,Returned
TXN00095,2023-06-21,CUST00095,Segun Efe,Female,60,Power Bank,Electronics,Electronics,14,$299.40,$4191.60,Debit Card,Abuja,SP091,Tobi Bola,13%,Not Returned
TXN00096,2024-09-25,CUST00096,Nkechi Shola,Female,40,Flash Drive,Accessories,Accessories,4,$169.51,$678.04,Cash,Jos,SP016,Bola Chika,19%,Returned
TXN00097,2021-11-28,CUST00097,Olufunke Yemi,Female,51,Laptop Stand,Accessories,Accessories,2,$93.36,$186.72,Credit Card,Abuja,SP030,Ngozi Bola,$18,Returned
TXN00098,2023-06-08,CUST00098,Aisha Kehinde,Female,46,USB Hub,Accessories,Accessories,13,$113.74,$1478.62,Cash,Enugu,SP092,Segun Adaeze,$13,Returned
TXN00099,2024-02-28,CUST00099,Olamide Opeyemi,Female,29,Bluetooth Speaker,Electronics,Electronics,3,$163.86,$491.58,Cash,Lagos,SP088,Peace Tosin,$11,Not Returned
TXN00100,2023-11-13,CUST00100,Nneka Chizor,Male,26,Charger,Accessories,Accessories,9,$201.59,$1814.31,Cash,Lagos,SP083,Chioma Anita,10%,Returned
TXN00101,2022-01-05,CUST00101,Emmanuela Ada,Female,23,Monitor,Electronics,Electronics,11,$228.24,$2510.64,Cash,Enugu,SP004,Chisom Olivia,$33,Not Returned
TXN00102,2021-12-02,CUST00102,Chikere Shola,Female,23,USB Hub,Accessories,Accessories,9,$170.71,$1536.39,Debit Card,Port Harcourt,SP086,Temitope Femi,None,Not Returned
TXN00103,2023-01-06,CUST00103,Fola Chioma,Male,18,USB Hub,Accessories,Accessories,7,$33.60,$235.20,Cash,Lagos,SP048,Tunde Olu,$17,Returned
TXN00104,2024-01-13,CUST00104,Nkem Yemi,Female,35,Flash Drive,Accessories,Accessories,14,$113.41,$1587.74,Debit Card,Lagos,SP003,Tunde Olivia,$22,Not Returned
TXN00105,2023-12-29,CUST00105,Anita Amina,Male,20,Keyboard,Electronics,Electronics,9,$30.52,$274.68,Debit Card,Kano,SP081,Chidera Bola,$49,Returned
TXN00106,2022-04-02,CUST00106,Precious Emeka,Male,30,USB Hub,Accessories,Accessories,1,$253.66,$253.66,Bank Transfer,Enugu,SP050,Chika Ogechi,$17,Not Returned
TXN00107,2024-07-15,CUST00107,Chidera Micheal,Male,52,Power Bank,Electronics,Electronics,10,$259.10,$2591.00,POS,Abuja,SP060,Efe Shola,None,Not Returned
TXN00108,2022-03-15,CUST00108,Ronke Emmanuela,Female,39,Keyboard,Electronics,Electronics,6,$50.26,$301.56,Debit Card,Ibadan,SP054,Nnamdi Nkem,6%,Returned
TXN00109,2024-09-04,CUST00109,Tope Olivia,Male,52,Wireless Mouse,Electronics,Electronics,12,$50.89,$610.68,Bank Transfer,Ibadan,SP060,Ifeoma Temitope,$29,Not Returned
TXN00110,2024-03-30,CUST00110,Temitayo Nkemdilim,Male,29,Charger,Accessories,Accessories,7,$65.05,$455.35,Bank Transfer,Ibadan,SP019,Chinonso Vivian,None,Not Returned
TXN00111,2021-11-09,CUST00111,Temitope Opeyemi,Female,57,Laptop Stand,Accessories,Accessories,14,$267.13,$3739.82,Credit Card,Lagos,SP035,Bola Shola,$21,Returned
TXN00112,2022-05-19,CUST00112,Bola Chinonso,Female,56,Wireless Mouse,Electronics,Electronics,14,$132.12,$1849.68,Cash,Owerri,SP018,Oluwatobi Amarachi,None,Returned
TXN00113,2024-08-11,CUST00113,Fidelis Daniel,Female,22,Phone Case,Accessories,Accessories,1,$238.43,$238.43,PayPal,Owerri,SP077,Ugochukwu Ezinne,14%,Not Returned
TXN00114,2024-06-10,CUST00114,Nkechi Oluwatobi,Female,45,Charger,Accessories,Accessories,3,$155.83,$467.49,Cash,Port Harcourt,SP068,Chijioke Kelechi,None,Not Returned
TXN00115,2023-01-24,CUST00115,Chidera Onyinye,Female,22,Bluetooth Speaker,Electronics,Electronics,6,$296.43,$1778.58,Cash,Ibadan,SP054,Chikere Oyinade,None,Returned
TXN00116,2024-08-13,CUST00116,Emeka Juliet,Male,50,Bluetooth Speaker,Electronics,Electronics,4,$98.72,$394.88,Debit Card,Ibadan,SP059,Ronke Adaobi,None,Returned
TXN00117,2022-05-13,CUST00117,Tola Kehinde,Female,55,Wireless Mouse,Electronics,Electronics,15,$153.93,$2308.95,Cash,Abuja,SP027,Chisom Kehinde,None,Returned
TXN00118,2024-08-27,CUST00118,Olufunke Uzochi,Male,42,Bluetooth Speaker,Electronics,Electronics,2,$140.01,$280.02,POS,Abuja,SP089,Jibola Blessing,None,Not Returned
TXN00119,2024-07-07,CUST00119,Uzochi Nneka,Male,38,Flash Drive,Accessories,Accessories,2,$153.85,$307.70,Credit Card,Jos,SP090,Temitope Nkem,16%,Not Returned
TXN00120,2024-06-13,CUST00120,Chidera Adaobi,Female,25,Bluetooth Speaker,Electronics,Electronics,2,$64.33,$128.66,Cash,Port Harcourt,SP057,Adesola Adebayo,$49,Not Returned
TXN00121,2022-08-03,CUST00121,Kola Uche,Male,38,Phone Case,Accessories,Accessories,3,$120.89,$362.67,Credit Card,Enugu,SP081,Olu Favour,20%,Returned
TXN00122,2022-06-19,CUST00122,Emmanuela Chinwe,Female,42,USB Hub,Accessories,Accessories,9,$299.22,$2692.98,Credit Card,Owerri,SP005,Fola Adesola,$29,Returned
TXN00123,2024-02-03,CUST00123,Chidera Blessing,Female,43,Wireless Mouse,Electronics,Electronics,3,$21.06,$63.18,Cash,Jos,SP030,Efe Chinonso,None,Not Returned
TXN00124,2023-02-13,CUST00124,Shola Patience,Female,39,Bluetooth Speaker,Electronics,Electronics,9,$262.98,$2366.82,PayPal,Lagos,SP089,Amina Chisom,None,Returned
TXN00125,2022-05-04,CUST00125,Uche Fola,Female,53,Keyboard,Electronics,Electronics,4,$55.32,$221.28,PayPal,Jos,SP055,Amaka Simeon,$35,Returned
TXN00126,2022-06-07,CUST00126,Nneka Daniel,Male,41,Laptop Stand,Accessories,Accessories,6,$238.45,$1430.70,Debit Card,Kano,SP073,Amaka Sola,None,Not Returned
TXN00127,2023-02-12,CUST00127,Peace Chinonso,Male,56,Keyboard,Electronics,Electronics,3,$120.40,$361.20,Credit Card,Jos,SP012,Ugo Fidelis,None,Not Returned
TXN00128,2023-10-14,CUST00128,Ezinne Oluwatobi,Female,53,Power Bank,Electronics,Electronics,4,$294.98,$1179.92,Cash,Jos,SP066,Amaka Shola,$12,Not Returned
TXN00129,2022-04-08,CUST00129,Ugo Nnamdi,Female,42,Power Bank,Electronics,Electronics,14,$42.55,$595.70,POS,Enugu,SP090,Onyinye Damilola,5%,Not Returned
TXN00130,2022-02-09,CUST00130,Ayo Pius,Male,50,Laptop Stand,Accessories,Accessories,2,$272.18,$544.36,PayPal,Lagos,SP086,Nike Juliet,5%,Returned
TXN00131,2024-10-05,CUST00131,Ronke David,Female,18,Monitor,Electronics,Electronics,4,$39.50,$158.00,POS,Enugu,SP076,Micheal Chidera,None,Not Returned
TXN00132,2023-03-21,CUST00132,Ifechukwu Nwafor,Female,47,USB Hub,Accessories,Accessories,13,$138.43,$1799.59,PayPal,Ibadan,SP056,Adaobi Chukwudi,11%,Returned
TXN00133,2022-03-08,CUST00133,Yemi Adesola,Female,33,Laptop Stand,Accessories,Accessories,5,$80.28,$401.40,Bank Transfer,Abuja,SP080,Chika Ayo,None,Not Returned
TXN00134,2024-01-20,CUST00134,Zainab Simeon,Female,21,Bluetooth Speaker,Electronics,Electronics,6,$186.14,$1116.84,Credit Card,Jos,SP067,Chizor Tope,$11,Not Returned
TXN00135,2022-06-23,CUST00135,Chika Femi,Male,23,Flash Drive,Accessories,Accessories,3,$69.88,$209.64,Debit Card,Ibadan,SP085,Chidera Shola,7%,Not Returned
TXN00136,2023-02-01,CUST00136,Chinedu Ronke,Female,58,Keyboard,Electronics,Electronics,15,$107.23,$1608.45,POS,Enugu,SP087,Uzochi Temitope,19%,Returned
TXN00137,2022-05-19,CUST00137,Damilola Seyi,Female,59,Wireless Mouse,Electronics,Electronics,1,$215.56,$215.56,Cash,Enugu,SP022,Temitayo Amarachi,15%,Returned
TXN00138,2023-04-27,CUST00138,Kehinde Pius,Male,18,Charger,Accessories,Accessories,12,$105.94,$1271.28,Credit Card,Ibadan,SP043,Chinwe Amarachi,12%,Not Returned
TXN00139,2024-05-03,CUST00139,Damilola Amarachi,Male,29,Keyboard,Electronics,Electronics,6,$15.13,$90.78,POS,Abuja,SP091,Tosin Chidera,None,Returned
TXN00140,2024-10-09,CUST00140,Oyinade Yemi,Male,29,Charger,Accessories,Accessories,9,$196.23,$1766.07,Debit Card,Abuja,SP040,Tunde Amaka,20%,Returned
TXN00141,2022-10-31,CUST00141,Ifeyinwa Jibola,Female,31,Power Bank,Electronics,Electronics,7,$110.33,$772.31,Cash,Lagos,SP083,Adaobi Nkemdilim,6%,Not Returned
TXN00142,2022-03-21,CUST00142,Opeyemi Daniel,Female,22,Monitor,Electronics,Electronics,3,$299.89,$899.67,Bank Transfer,Ibadan,SP018,Chika Chinonso,None,Returned
TXN00143,2022-05-01,CUST00143,Obi Bola,Male,53,Monitor,Electronics,Electronics,13,$233.83,$3039.79,POS,Owerri,SP009,Daniel Ifeoma,19%,Returned
TXN00144,2023-07-13,CUST00144,Amaka Chinwe,Female,43,Bluetooth Speaker,Electronics,Electronics,11,$288.06,$3168.66,POS,Owerri,SP015,Fathia Sola,6%,Returned
TXN00145,2023-07-13,CUST00145,Tobi Daniel,Female,25,Monitor,Electronics,Electronics,6,$267.15,$1602.90,Cash,Owerri,SP008,Kehinde Fola,$50,Not Returned
TXN00146,2024-10-16,CUST00146,Pius Adaeze,Male,29,Keyboard,Electronics,Electronics,4,$237.17,$948.68,PayPal,Enugu,SP062,Zainab Benita,18%,Returned
